:START_ID,:END_ID,relation,:TYPE
77,16077,Mn-min,Mn-min
78,16078,Mn-min,Mn-min
79,16079,Mn-min,Mn-min
80,16080,Mn-min,Mn-min
81,16081,Mn-min,Mn-min
82,16082,Mn-min,Mn-min
83,16083,Mn-min,Mn-min
84,16084,Mn-min,Mn-min
85,16085,Mn-min,Mn-min
86,16086,Mn-min,Mn-min
87,16087,Mn-min,Mn-min
88,16088,Mn-min,Mn-min
89,16089,Mn-min,Mn-min
90,16090,Mn-min,Mn-min
91,16091,Mn-min,Mn-min
92,16092,Mn-min,Mn-min
93,16093,Mn-min,Mn-min
94,16094,Mn-min,Mn-min
95,16095,Mn-min,Mn-min
96,16096,Mn-min,Mn-min
97,16097,Mn-min,Mn-min
98,16098,Mn-min,Mn-min
99,16099,Mn-min,Mn-min
100,16100,Mn-min,Mn-min
101,16101,Mn-min,Mn-min
102,16102,Mn-min,Mn-min
103,16103,Mn-min,Mn-min
104,16104,Mn-min,Mn-min
105,16105,Mn-min,Mn-min
106,16106,Mn-min,Mn-min
107,16107,Mn-min,Mn-min
108,16108,Mn-min,Mn-min
109,16109,Mn-min,Mn-min
110,16110,Mn-min,Mn-min
111,16111,Mn-min,Mn-min
112,16112,Mn-min,Mn-min
113,16113,Mn-min,Mn-min
114,16114,Mn-min,Mn-min
115,16115,Mn-min,Mn-min
116,16116,Mn-min,Mn-min
117,16117,Mn-min,Mn-min
118,16118,Mn-min,Mn-min
119,16119,Mn-min,Mn-min
120,16120,Mn-min,Mn-min
121,16121,Mn-min,Mn-min
122,16122,Mn-min,Mn-min
123,16123,Mn-min,Mn-min
124,16124,Mn-min,Mn-min
125,16125,Mn-min,Mn-min
126,16126,Mn-min,Mn-min
127,16127,Mn-min,Mn-min
128,16128,Mn-min,Mn-min
129,16129,Mn-min,Mn-min
130,16130,Mn-min,Mn-min
131,16131,Mn-min,Mn-min
132,16132,Mn-min,Mn-min
133,16133,Mn-min,Mn-min
134,16134,Mn-min,Mn-min
135,16135,Mn-min,Mn-min
136,16136,Mn-min,Mn-min
137,16137,Mn-min,Mn-min
138,16138,Mn-min,Mn-min
139,16139,Mn-min,Mn-min
140,16140,Mn-min,Mn-min
141,16141,Mn-min,Mn-min
142,16142,Mn-min,Mn-min
143,16143,Mn-min,Mn-min
144,16144,Mn-min,Mn-min
145,16145,Mn-min,Mn-min
146,16146,Mn-min,Mn-min
147,16147,Mn-min,Mn-min
148,16148,Mn-min,Mn-min
149,16149,Mn-min,Mn-min
150,16150,Mn-min,Mn-min
151,16151,Mn-min,Mn-min
152,16152,Mn-min,Mn-min
153,16153,Mn-min,Mn-min
154,16154,Mn-min,Mn-min
155,16155,Mn-min,Mn-min
156,16156,Mn-min,Mn-min
157,16157,Mn-min,Mn-min
158,16158,Mn-min,Mn-min
159,16159,Mn-min,Mn-min
160,16160,Mn-min,Mn-min
161,16161,Mn-min,Mn-min
162,16162,Mn-min,Mn-min
163,16163,Mn-min,Mn-min
164,16164,Mn-min,Mn-min
165,16165,Mn-min,Mn-min
166,16166,Mn-min,Mn-min
167,16167,Mn-min,Mn-min
168,16168,Mn-min,Mn-min
169,16169,Mn-min,Mn-min
170,16170,Mn-min,Mn-min
171,16171,Mn-min,Mn-min
172,16172,Mn-min,Mn-min
173,16173,Mn-min,Mn-min
174,16174,Mn-min,Mn-min
175,16175,Mn-min,Mn-min
176,16176,Mn-min,Mn-min
177,16177,Mn-min,Mn-min
178,16178,Mn-min,Mn-min
179,16179,Mn-min,Mn-min
180,16180,Mn-min,Mn-min
181,16181,Mn-min,Mn-min
182,16182,Mn-min,Mn-min
183,16183,Mn-min,Mn-min
184,16184,Mn-min,Mn-min
185,16185,Mn-min,Mn-min
186,16186,Mn-min,Mn-min
187,16187,Mn-min,Mn-min
188,16188,Mn-min,Mn-min
189,16189,Mn-min,Mn-min
190,16190,Mn-min,Mn-min
191,16191,Mn-min,Mn-min
192,16192,Mn-min,Mn-min
193,16193,Mn-min,Mn-min
194,16194,Mn-min,Mn-min
195,16195,Mn-min,Mn-min
196,16196,Mn-min,Mn-min
197,16197,Mn-min,Mn-min
198,16198,Mn-min,Mn-min
199,16199,Mn-min,Mn-min
