,C.max,C.min,Si.max,Si.min,Mn.max,Mn.min,P.max,P.min,S.max,S.min,Cr.max,Cr.min,Ni.max,Ni.min,Mo.max,Mo.min,N.max,N.min,Ti.max,Ti.min,V.max,V.min,Nb.max,Nb.min,B.max,B.min,Co.max,Co.min,更多
143,0.03,-,4.5,3.5,0.8,-,0.035,-,0.025,-,15,13,15,13,,,,,,,,,,,,,,,
144,0.5,0.3,2.5,1,2,-,0.04,-,0.03,-,27,24,36,33,0.5,-,,,,,,,1.8,0.8,,,,,
145,0.12,0.06,0.6,-,0.8,0.5,0.02,-,0.015,-,0.3,-,3,2,0.2,-,,,,,0.05,-,,,,,,,
146,0.08,-,1.5,-,2,0.8,0.03,-,0.03,-,19,16,13,11,3,2,,,0.7,0.3,,,,,,,,,
147,0.03,-,1,-,2,-,0.035,-,0.025,-,23,21,6.5,4.5,3.5,2.5,0.2,0.12,,,,,,,,,,,
148,0.15,-,0.8,-,0.8,-,0.035,-,0.025,-,13.5,11.5,,,,,,,,,0.05,-,,,,,,,Cu+W+V≤0.5
149,0.06,-,1,-,1,-,0.03,-,0.025,-,17.5,15.5,6,4.5,1,0.4,,,,,0.08,-,,,,,,,
150,0.3,0.2,0.45,0.3,1.3,1.1,0.03,-,0.03,-,0.3,-,0.3,-,0.15,-,,,,,,,,,,,,,
151,0.75,0.65,0.45,0.2,1.8,1.4,0.035,-,0.03,-,,,,,0.45,0.2,,,,,,,,,,,,,
152,0.55,0.35,2.5,1,1.5,-,0.04,-,0.03,-,30,27,50,47,,,,,,,,,,,,,,,
153,0.12,0.08,0.5,0.2,0.6,0.3,0.03,-,0.01,-,9.5,8,0.4,-,1.05,0.85,0.07,0.03,0.01,-,0.25,0.18,0.1,0.06,,,,,
154,1.35,1,0.9,0.3,14,11,0.06,-,0.04,-,,,,,,,,,,,,,,,,,,,
155,0.07,-,1.5,-,1.5,-,0.04,-,0.03,-,20,18,13,10,3.5,3,,,,,,,,,,,,,
156,0.06,-,0.8,-,1,-,0.035,-,0.025,-,13.5,11.5,5,3.5,1,0.4,,,,,0.05,-,,,,,,,Cu+W+V≤0.5
157,0.12,-,2,-,1.5,-,0.04,-,0.04,-,23,20,13,10,,,,,,,,,,,,,,,
158,0.45,0.35,0.45,0.3,1.5,1.2,0.03,-,0.03,-,0.3,-,0.3,-,0.15,-,,,,,,,,,,,,,
