牌号,欧标钢号,对应标准,归类,性能,标签,说明,旧牌号,德国W-Nr.,美国UNS,其他名称
ZG40Cr24Si2,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
ZGR280-480,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG35Cr24Ni8Si2N,,JB /T 6403-2017 大型耐热钢铸件 技术条件,铸钢,,,,ZG35Cr24Ni7SiN,,,
ZG10Cr12Ni1,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
ZG34Cr2Ni2Mo,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
HCrS,,GB /T 1503-2008 铸钢轧辊,铸钢,,高铬钢,,,,,
ZG120Mn17,,GB /T 5680-2010 奥氏体锰钢铸件,铸钢,,,,,,,
ZG03Cr22Ni5Mo3N,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG40Cr22Ni10Si2,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
ZG18Mo,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG35Cr28Ni16,,JB /T 6403-2017 大型耐热钢铸件 技术条件,铸钢,,,,,,,
ZG07Cr19Ni10,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
ZG20CrMo,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
ZG15Cr13,,JB /T 6405-2018 大型不锈钢铸件 技术条件,铸钢,,,,,,,
ZG230-450H,,GB /T 7659-2010 焊接结构用铸钢件,铸钢,,,,,,,
ZG03Ni28Cr21Mo2,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG40Cr25Ni20Si2,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
ZG17Cr2Mo,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG35Ni25Cr19Si2,,JB /T 6403-2017 大型耐热钢铸件 技术条件,铸钢,,,,ZG35Ni24Cr18Si2,,,
ZG03Cr19Ni11Mo2N,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
ZG42Cr1Mo,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
ZG12Cr18Ni9Ti,,JB /T 6405-2018 大型不锈钢铸件 技术条件,铸钢,,,,,,,
ZG340-550H,,GB /T 7659-2010 焊接结构用铸钢件,铸钢,,,,,,,
AS60,,GB /T 1503-2008 铸钢轧辊,铸钢,,合金钢,,ZU60CrMnMo,,,
ZG10Ni31Cr20Nb1,,GB /T 8492-2014 一般用途耐热钢和合金铸件,铸钢,,,,,,,
ZG26CrNiMo,,GB /T 16253-2019 承压钢铸件,铸钢,,,,,,,
ZG40Cr23Ni4N,,JB /T 6403-2017 大型耐热钢铸件 技术条件,铸钢,,,,ZG40Cr22Ni4N,,,
ZG07Cr19Ni11Mo2Nb,,GB /T 2100-2017 通用耐蚀钢铸件,铸钢,,,,,,,
ZG30NiCrMo,,JB /T 6402-2018 大型低合金钢铸件 技术条件,铸钢,,,,,,,
ZG06Cr13Ni4Mo,,JB /T 6405-2018 大型不锈钢铸件 技术条件,铸钢,,,,,,,
AS65Ⅰ,,GB /T 1503-2008 铸钢轧辊,铸钢,,合金钢,,ZU65CrNiMo,,,
