,0
1432,2381358
1433,2061873
1434,783933
1435,1594947
1436,2463309
1437,2520657
1438,1447506
1439,374355
1440,431703
1441,1562202
1442,546399
1443,1300065
1444,661095
1445,1095276
1446,1586805
1447,890487
1448,1701501
1449,1439364
1450,1816197
1451,2193030
1452,800394
1453,1554060
1454,161424
1455,595605
1456,276120
1457,652953
1458,2102937
1459,1783452
1460,1087134
1461,13983
1462,767649
1463,2332329
1464,620208
1465,2070192
1466,1750707
1467,2561721
1468,38586
1469,472767
1470,849600
1471,1603266
1472,1078992
1473,2528976
1474,382674
1475,2209491
1476,1513173
1477,1570521
1478,2381535
1479,2062050
1480,2119398
1481,784110
1482,259836
1483,2520834
1484,1447683
1485,55047
1486,431880
1487,1562379
1488,546576
1489,1300242
1490,1734423
1491,661272
1492,1095453
1493,1849119
1494,1586982
1495,890664
1496,1439541
1497,2193207
1498,46905
1499,800571
1500,1554237
1501,481086
1502,161601
1503,595782
1504,972615
1505,276297
1506,653130
1507,1087311
1508,14160
1509,2332506
1510,620385
1511,2070369
1512,2561898
1513,38763
1514,472944
1515,849777
1516,153459
1517,1079169
1518,6018
1519,382851
1520,2209668
1521,1136517
1522,1513350
1523,2529153
1524,1570698
1525,2381712
1526,2062227
1527,2119575
1528,1423257
1529,407454
1530,784287
1531,1595301
1532,2463663
1533,2521011
1534,1447860
1535,2201526
1536,432057
1537,1562556
1538,1243071
1539,1619904
1540,546753
1541,1300419
1542,661449
1543,1849296
1544,1587159
1545,948189
1546,47082
1547,800748
1548,1554414
1549,481263
1550,161778
1551,2045943
1552,595959
1553,972792
1554,276474
1555,653307
1556,1087488
1557,825351
1558,2332683
1559,620562
1560,2070546
1561,2562075
1562,38940
1563,473121
1564,849954
1565,1603620
1566,1079346
1567,6195
1568,383028
1569,2529330
1570,2586678
1571,63543
1572,1513527
1573,1194042
1574,1570875
1575,2381889
1576,2062404
1577,407631
1578,784464
1579,1595478
1580,1448037
1581,2201703
1582,432234
1583,1882218
1584,546930
1585,661626
1586,342141
1587,1095807
1588,1849473
1589,1587336
1590,948366
1591,252048
1592,1439895
1593,2193561
1594,47259
1595,800925
1596,1554591
1597,481440
1598,161955
1599,596136
1600,972969
1601,276651
1602,653484
1603,1726635
1604,1783983
1605,1087665
1606,14514
1607,768180
1608,825528
1609,2332860
1610,1317057
1611,620739
1612,2070723
1613,2562252
1614,39117
1615,473298
1616,850131
1617,1079523
1618,2529507
1619,2210022
1620,2586855
1621,63720
1622,1194219
1623,1571052
1624,1423611
1625,407808
1626,1595655
1627,1448214
1628,375063
1629,1825047
1630,2201880
1631,55578
1632,432411
1633,1882395
1634,1562910
1635,1620258
1636,547107
1637,1300773
1638,661803
1639,342318
1640,1849650
1641,1587513
1642,948543
1643,1440072
1644,2193738
1645,801102
1646,1554768
1647,481617
1648,162132
1649,1612116
1650,596313
1651,276828
1652,653661
1653,1726812
1654,1784160
1655,1087842
1656,14691
1657,2537826
1658,1522023
1659,825705
1660,2333037
1661,358779
1662,39294
1663,473475
1664,850308
1665,153990
1666,1603974
1667,1776018
1668,1079700
1669,6549
1670,2529684
1671,2210199
1672,2587032
1673,1194396
1674,1571229
1675,1423788
1676,350637
1677,407985
1678,2521542
1679,1448391
1680,2202057
1681,55755
1682,432588
1683,1563087
1684,1620435
1685,547284
1686,1300950
1687,661980
1688,342495
1689,1096161
1690,834024
1691,948720
1692,2136567
1693,1440249
1694,2193915
1695,47613
1696,801279
1697,1554945
1698,481794
1699,1612293
1700,1292808
1701,596490
1702,2046474
1703,277005
1704,653838
1705,1726989
1706,1088019
1707,14868
1708,2538003
1709,1145367
1710,825882
1711,2333214
1712,244260
1713,2562606
1714,39471
1715,473652
1716,850485
1717,154167
1718,1604151
1719,645696
1720,1776195
1721,2153028
1722,6726
1723,2210376
1724,1194573
1725,1571406
1726,2120283
1727,1423965
1728,350814
1729,408162
1730,1596009
1731,2464371
1732,2521719
1733,1448568
1734,2202234
1735,1563264
1736,1620612
1737,547461
1738,1301127
1739,662157
1740,1096338
1741,776853
1742,1211034
1743,1587867
1744,948897
1745,1440426
1746,2194092
1747,47790
1748,1555122
1749,481971
1750,162486
1751,1292985
1752,277182
1753,654015
1754,1727166
1755,1784514
1756,1088196
1757,15045
1758,2538180
1759,1145544
1760,826059
1761,1579725
1762,2333391
1763,563922
1764,1317588
1765,2562783
1766,39648
1767,473829
1768,850662
1769,269040
1770,645873
1771,1080054
1772,760569
1773,2210553
1774,1194750
1775,1571583
1776,2063112
1777,350991
1778,408339
1779,1596186
1780,2464548
1781,2521896
1782,1448745
1783,2202411
1784,432942
1785,1563441
1786,1620789
1787,547638
1788,1301304
1789,1735485
1790,342849
1791,1096515
1792,23364
1793,777030
1794,1211211
1795,949074
1796,1325907
1797,367452
1798,2194269
1799,47967
1800,801633
1801,1555299
1802,482148
1803,2308965
1804,1293162
1805,596844
1806,277359
1807,654192
1808,1727343
1809,1784691
1810,1088373
1811,15222
1812,2538357
1813,2333568
1814,564099
1815,1317765
1816,2562960
1817,39825
1818,474006
1819,154521
1820,1604505
1821,646050
1822,1080231
1823,2530215
1824,760746
1825,1137579
1826,64428
1827,2210730
1828,1194927
1829,1571760
1830,2063289
1831,1743804
1832,351168
1833,408516
1834,2464725
1835,2522073
1836,1448922
1837,2202588
1838,433119
1839,1563618
1840,1620966
1841,547815
1842,605163
1843,2169843
1844,1096692
1845,777207
1846,1211388
1847,949251
1848,2079750
1849,1440780
1850,2194446
1851,801810
1852,482325
1853,162840
1854,1293339
1855,597021
1856,2047005
1857,277536
1858,654369
1859,1727520
1860,1784868
1861,1088550
1862,1580079
1863,2333745
1864,1260594
1865,564276
1866,1317942
1867,2563137
1868,40002
1869,474183
1870,851016
1871,1604682
1872,531531
1873,646227
1874,1776726
1875,1080408
1876,7257
1877,760923
1878,1137756
1879,2210907
1880,1571937
1881,2063466
1882,408693
1883,1596540
1884,2464902
1885,2522250
1886,1449099
1887,2202765
1888,56463
1889,433296
1890,1506447
1891,1563795
1892,1301658
1893,605340
1894,1096869
1895,23718
1896,777384
1897,1211565
1898,949428
1899,2079927
1900,1440957
1901,2194623
1902,48321
1903,801987
1904,1555653
1905,1613001
1906,1293516
1907,597198
1908,277713
1909,654546
1910,1727697
1911,1785045
1912,1088727
1913,15576
1914,1580256
1915,564453
1916,1318119
1917,2563314
1918,40179
1919,474360
1920,851193
1921,1604859
1922,646404
1923,2473221
1924,1080585
1925,7434
1926,761100
1927,1137933
1928,2211084
1929,1572114
1930,2063643
1931,351522
1932,408870
1933,146733
1934,1596717
1935,1654065
1936,261429
1937,2465079
1938,2522427
1939,1449276
1940,2202942
1941,1506624
1942,433473
1943,605517
1944,23895
1945,777561
1946,1211742
1947,949605
1948,2080104
1949,1441134
1950,2194800
1951,802164
1952,1555830
1953,597375
1954,2424192
1955,1785222
1956,1088904
1957,15753
1958,826767
1959,564630
1960,245145
1961,2563491
1962,40356
1963,794022
1964,474537
1965,851370
1966,646581
1967,2473398
1968,2153913
1969,1080762
1970,7611
1971,761277
1972,1138110
1973,2211261
1974,1572291
1975,351699
1976,2178516
1977,409047
1978,1596894
1979,1654242
1980,261606
1981,2465256
1982,2522604
1983,1449453
1984,2203119
1985,433650
1986,1564149
1987,548346
1988,605694
1989,1793541
1990,1211919
1991,2342418
1992,949782
1993,2080281
1994,2137629
1995,2194977
1996,802341
1997,1556007
1998,2309673
1999,1293870
2000,597552
2001,2424369
2002,1728051
2003,654900
2004,1785399
2005,1089081
2006,15930
2007,1523262
2008,826944
2009,2334276
2010,564807
2011,2563668
2012,40533
2013,417366
2014,794199
2015,474714
2016,851547
2017,1605213
2018,646758
2019,2473575
2020,1080939
2021,761454
2022,1138287
2023,2211438
2024,1572468
2025,351876
2026,409224
2027,786057
2028,1654419
2029,261783
2030,2522781
2031,1449630
2032,2203296
2033,56994
2034,433827
2035,1506978
2036,1564326
2037,605871
2038,1736370
2039,1474233
2040,1588929
2041,515778
2042,949959
2043,2137806
2044,2514639
2045,1441488
2046,2195154
2047,1556184
2048,597729
2049,2424546
2050,1728228
2051,655077
2052,1785576
2053,1089258
2054,16107
2055,1523439
2056,827121
2057,1580787
2058,564984
2059,302847
2060,417543
2061,794376
2062,474891
2063,851724
2064,1605390
2065,646935
2066,2473752
2067,1081116
2068,7965
2069,761631
2070,1138464
2071,1572645
2072,1425204
2073,352053
2074,409401
2075,147264
2076,524097
2077,1597248
2078,261960
2079,2522958
2080,1449807
2081,2203473
2082,1507155
2083,434004
2084,1564503
2085,1736547
2086,515955
2087,2342772
2088,950136
2089,1441665
2090,2195331
2091,49029
2092,1556361
2093,2310027
2094,163725
2095,597906
2096,2424723
2097,1728405
2098,655254
2099,2539419
2100,1523616
2101,827298
2102,2334630
2103,565161
2104,40887
2105,417720
2106,475068
2107,851901
2108,155583
2109,1605567
2110,966597
2111,647112
2112,2473929
2113,1081293
2114,8142
2115,2531277
2116,761808
2117,2211792
2118,1572822
2119,1425381
2120,352230
2121,2555880
2122,409578
2123,786411
2124,466926
2125,1597425
2126,1654773
2127,2146302
2128,2523135
